Plant_Biomass,Year,Yr,Site,Latitude,Longitude,evi_max_05_10,slope,elevation,Percent_flooding,srad_peak,dayl_Max,nd_swir2_nir_mean_05_10,ndvi_mean_08_10,nd_r_g_max_05_10,spei14d
440.816,2013,1/1/2013,8,31.308449,-81.415129,0.2322815424133503,0.6934672594070435,1.179146171,0.014084507,336.61053466796875,50542.17969,-0.404771244,0.6085444533055698,0.059350036,0.1190411001443862
468.64,2015,1/1/2015,8,31.308449,-81.415129,0.1904682298810696,0.6934672594070435,1.179146171,0.014084507,316.0119629,50542.17969,-0.317077973,0.5023389510610423,0.1178205526234106,0.1046575382351875
170.976,2016,1/1/2016,8,31.308449,-81.415129,0.1956338972441652,0.6934672594070435,1.179146171,0.014084507,332.3839111328125,50542.17969,-0.336010374,0.5485707483144752,0.075218249,-0.249589026
140.192,2018,1/1/2018,8,31.308449,-81.415129,0.1782038707058295,0.6934672594070435,1.179146171,0.014084507,330.67413330078125,50542.17969,-0.277813516,0.4970444749461471,0.065726795,0.2300000041723251
435.2,2021,1/1/2021,8,31.308449,-81.415129,0.1912619058714957,0.6934672594070435,1.179146171,0.014084507,334.4214172363281,50542.17969,-0.281224019,0.4962036451491357,0.076267413,0.2375342398881912
307.2,2022,1/1/2022,8,31.308449,-81.415129,0.1573686218169244,0.6934672594070435,1.179146171,0.014084507,339.8260803222656,50542.17969,-0.238380077,0.458792145,0.081120944,-0.14643836
342.656,2014,1/1/2014,8,31.308449000000003,-81.415129,0.1993506548975881,0.6934672594070435,1.179146171,0.014084507,342.20391845703125,50542.17969,-0.260353661,0.4390149406052047,0.081113955,0.1209589019417762
438.688,2017,1/1/2017,8,31.308449000000003,-81.415129,0.2066293679363629,0.6934672594070435,1.179146171,0.014084507,326.7010803222656,50542.17969,-0.30263089,0.5695640180493148,0.056198586,0.000684929
250.24,2019,1/1/2019,8,31.308449000000003,-81.415129,0.1809578439685836,0.6934672594070435,1.179146171,0.014084507,320.10968017578125,50542.17969,-0.253694349,0.4907398960756481,0.060210327,-0.130281687
161.872,2020,1/1/2020,8,31.308449000000003,-81.415129,0.1979742239708395,0.6934672594070435,1.179146171,0.014084507,309.3223876953125,50542.17969,-0.264761564,0.5306610645032733,0.055967776,0.1078571379184722
344.352,2013,1/1/2013,8,31.308539,-81.415218,0.2322815424133503,0.7219859957695007,1.1818758249282837,0.014084507,336.61053466796875,50542.17969,-0.404771244,0.6085444533055698,0.059350036,0.1190411001443862
850.912,2015,1/1/2015,8,31.308539,-81.415218,0.1904682298810696,0.7219859957695007,1.1818758249282837,0.014084507,316.0119629,50542.17969,-0.317077973,0.5023389510610423,0.1178205526234106,0.1046575382351875
602.256,2016,1/1/2016,8,31.308539,-81.415218,0.1956338972441652,0.7219859957695007,1.1818758249282837,0.014084507,332.3839111328125,50542.17969,-0.336010374,0.5485707483144752,0.075218249,-0.249589026
174.62400000000002,2017,1/1/2017,8,31.308539,-81.415218,0.2066293679363629,0.7219859957695007,1.1818758249282837,0.014084507,326.7010803222656,50542.17969,-0.30263089,0.5695640180493148,0.056198586,0.000684929
126.4,2018,1/1/2018,8,31.308539,-81.415218,0.1782038707058295,0.7219859957695007,1.1818758249282837,0.014084507,330.67413330078125,50542.17969,-0.277813516,0.4970444749461471,0.065726795,0.2300000041723251
297.872,2019,1/1/2019,8,31.308539,-81.415218,0.1809578439685836,0.7219859957695007,1.1818758249282837,0.014084507,320.10968017578125,50542.17969,-0.253694349,0.4907398960756481,0.060210327,-0.130281687
373.232,2020,1/1/2020,8,31.308539,-81.415218,0.1979742239708395,0.7219859957695007,1.1818758249282837,0.014084507,309.3223876953125,50542.17969,-0.264761564,0.5306610645032733,0.055967776,0.1078571379184722
754.784,2014,1/1/2014,8,31.308539000000003,-81.415218,0.1993506548975881,0.7219859957695007,1.1818758249282837,0.014084507,342.20391845703125,50542.17969,-0.260353661,0.4390149406052047,0.081113955,0.1209589019417762
605.84,2021,1/1/2021,8,31.308539000000003,-81.415218,0.1912619058714957,0.7219859957695007,1.1818758249282837,0.014084507,334.4214172363281,50542.17969,-0.281224019,0.4962036451491357,0.076267413,0.2375342398881912
642.352,2022,1/1/2022,8,31.308539000000003,-81.415218,0.1573686218169244,0.7219859957695007,1.1818758249282837,0.014084507,339.8260803222656,50542.17969,-0.238380077,0.458792145,0.081120944,-0.14643836
663.472,2005,1/1/2005,8,31.308658999999995,-81.415257,0.1536277758008829,0.3222000896930694,1.2235465049743652,0.011857708,331.9556579589844,50542.17969,-0.294438554,0.469795142,-0.001142738,0.3142465651035309
466.96,2019,1/1/2019,8,31.308658999999995,-81.415257,0.1657758266666242,0.3222000896930694,1.2235465049743652,0.011857708,320.10968017578125,50542.17969,-0.267148139,0.5017468317267708,0.045397614,-0.130281687
352.064,2020,1/1/2020,8,31.308659,-81.415257,0.2119003713959905,0.3222000896930694,1.2235465049743652,0.011857708,309.3223876953125,50542.17969,-0.28209049,0.5371948670476109,0.045574198,0.1078571379184722
652.832,2013,1/1/2013,8,31.308659,-81.415257,0.2307485276423282,0.3222000896930694,1.2235465049743652,0.011857708,336.61053466796875,50542.17969,-0.421321627,0.5948565921002642,0.085542374,0.1190411001443862
518.448,2014,1/1/2014,8,31.308659,-81.415257,0.188392946,0.3222000896930694,1.2235465049743652,0.011857708,342.20391845703125,50542.17969,-0.271880339,0.451920958,0.074995393,0.1209589019417762
553.7280000000001,2015,1/1/2015,8,31.308659,-81.415257,0.1674581517651542,0.3222000896930694,1.2235465049743652,0.011857708,316.0119629,50542.17969,-0.291539877,0.5026318016869687,0.073975235,0.1046575382351875
554.72,2016,1/1/2016,8,31.308659,-81.415257,0.2139770688713831,0.3222000896930694,1.2235465049743652,0.011857708,332.3839111328125,50542.17969,-0.328021215,0.5487409259240538,0.07522918,-0.249589026
434.72,2017,1/1/2017,8,31.308659,-81.415257,0.2349435560542907,0.3222000896930694,1.2235465049743652,0.011857708,326.7010803222656,50542.17969,-0.285347029,0.5686165667320168,0.061262019,0.000684929
322.528,2018,1/1/2018,8,31.308659,-81.415257,0.1866028341484815,0.3222000896930694,1.2235465049743652,0.011857708,330.67413330078125,50542.17969,-0.287635944,0.5219024408124456,0.058066645,0.2300000041723251
388.352,2021,1/1/2021,8,31.308659,-81.415257,0.1873473191948594,0.3222000896930694,1.2235465049743652,0.011857708,334.4214172363281,50542.17969,-0.281447677,0.4999072617451722,0.06922564,0.2375342398881912
479.152,2022,1/1/2022,8,31.308659,-81.415257,0.1738869932378327,0.3222000896930694,1.2235465049743652,0.011857708,339.8260803222656,50542.17969,-0.25958435,0.4798525289756953,0.085841006,-0.14643836
1662.144,2002,1/1/2002,8,31.308659,-81.415257,0.1752435025264437,0.3222000896930694,1.2235465049743652,0.011857708,308.6863098144531,50542.17969,-0.316120281,0.4130801201855126,0.071931166,0.1697260290384292
2665.312,2002,1/1/2002,8,31.30875,-81.415322,0.128517913,0.2598839104175567,1.2999862432479858,0.012072435,308.6863098144531,50542.17969,-0.183526412,0.4363297979684739,0.017588601,0.1697260290384292
858.5600000000001,2013,1/1/2013,8,31.30875,-81.415322,0.2117481852612881,0.2598839104175567,1.2999862432479858,0.012072435,336.61053466796875,50542.17969,-0.387304352,0.6022709518235291,0.059438391,0.1190411001443862
563.136,2014,1/1/2014,8,31.30875,-81.415322,0.1955401268113571,0.2598839104175567,1.2999862432479858,0.012072435,342.20391845703125,50542.17969,-0.237663304,0.4209629509978957,0.079073262,0.1209589019417762
609.136,2016,1/1/2016,8,31.30875,-81.415322,0.1812858743229356,0.2598839104175567,1.2999862432479858,0.012072435,332.3839111328125,50542.17969,-0.290230432,0.5031934780040052,0.089093875,-0.249589026
282.928,2017,1/1/2017,8,31.30875,-81.415322,0.1994030084962726,0.2598839104175567,1.2999862432479858,0.012072435,326.7010803222656,50542.17969,-0.266541006,0.5312079631919789,0.066816242,0.000684929
354.096,2018,1/1/2018,8,31.30875,-81.415322,0.1645916750083418,0.2598839104175567,1.2999862432479858,0.012072435,330.67413330078125,50542.17969,-0.252977803,0.4765283067022263,0.068900037,0.2300000041723251
720.064,2019,1/1/2019,8,31.30875,-81.415322,0.1561580849250273,0.2598839104175567,1.2999862432479858,0.012072435,320.10968017578125,50542.17969,-0.250804658,0.4651745577051646,0.081071038,-0.130281687
494.016,2020,1/1/2020,8,31.30875,-81.415322,0.1734851994971772,0.2598839104175567,1.2999862432479858,0.012072435,309.3223876953125,50542.17969,-0.264346848,0.5036217483066412,0.060732561,0.1078571379184722
914.752,2021,1/1/2021,8,31.30875,-81.415322,0.1717077404592198,0.2598839104175567,1.2999862432479858,0.012072435,334.4214172363281,50542.17969,-0.253079091,0.4665540276704636,0.081598338,0.2375342398881912
311.296,2022,1/1/2022,8,31.30875,-81.415322,0.1582226772390272,0.2598839104175567,1.2999862432479858,0.012072435,339.8260803222656,50542.17969,-0.220539011,0.4411231730101198,0.094883538,-0.14643836
1376.08,2005,1/1/2005,8,31.308750000000003,-81.415322,0.122708102,0.2598839104175567,1.2999862432479858,0.012072435,331.9556579589844,50542.17969,-0.301035706,0.3901969311051749,0.003212054,0.3142465651035309
725.8399999999999,2015,1/1/2015,8,31.308750000000003,-81.415322,0.1902511538675022,0.2598839104175567,1.2999862432479858,0.012072435,316.0119629,50542.17969,-0.306577032,0.47072317,0.1640331380076783,0.1046575382351875
468.992,2005,1/1/2005,8,31.308848999999995,-81.415465,0.1384168460345892,0.5411149263381958,1.2405362129211426,0.015968064,331.9556579589844,50542.17969,-0.271571506,0.3747725281391121,0.055227863,0.3142465651035309
399.776,2015,1/1/2015,8,31.308848999999995,-81.415465,0.1747554812278063,0.5411149263381958,1.2405362129211426,0.015968064,316.0119629,50542.17969,-0.297387173,0.4596341009120551,0.079352588,0.1046575382351875
417.44,2021,1/1/2021,8,31.308848999999995,-81.415465,0.1794958442852842,0.5411149263381958,1.2405362129211426,0.015968064,334.4214172363281,50542.17969,-0.275677303,0.4809108596800172,0.07823334,0.2375342398881912
248.16,2022,1/1/2022,8,31.308848999999995,-81.415465,0.162771479,0.5411149263381958,1.2405362129211426,0.015968064,339.8260803222656,50542.17969,-0.234157501,0.4398659645416196,0.098891662,-0.14643836
1042.784,2002,1/1/2002,8,31.308849,-81.415465,0.1456127633539052,0.5411149263381958,1.2405362129211426,0.015968064,308.6863098144531,50542.17969,-0.2635008,0.4802434610955754,0.026688618,0.1697260290384292
581.04,2013,1/1/2013,8,31.308849,-81.415465,0.2188687248405824,0.5411149263381958,1.2405362129211426,0.015968064,336.61053466796875,50542.17969,-0.375690621,0.5637567837310191,0.061017238,0.1190411001443862
406.32,2014,1/1/2014,8,31.308849,-81.415465,0.1883595028545883,0.5411149263381958,1.2405362129211426,0.015968064,342.20391845703125,50542.17969,-0.251571826,0.4220084125451767,0.071913572,0.1209589019417762
236.32,2016,1/1/2016,8,31.308849,-81.415465,0.1843507728393384,0.5411149263381958,1.2405362129211426,0.015968064,332.3839111328125,50542.17969,-0.306494775,0.5256324435402371,0.085853659,-0.249589026
106.288,2017,1/1/2017,8,31.308849,-81.415465,0.2046630389338653,0.5411149263381958,1.2405362129211426,0.015968064,326.7010803222656,50542.17969,-0.266889,0.5328960624350468,0.074142587,0.000684929
175.616,2018,1/1/2018,8,31.308849,-81.415465,0.168058924,0.5411149263381958,1.2405362129211426,0.015968064,330.67413330078125,50542.17969,-0.257654157,0.4804368279460816,0.074880398,0.2300000041723251
186.752,2019,1/1/2019,8,31.308849,-81.415465,0.1615451157838701,0.5411149263381958,1.2405362129211426,0.015968064,320.10968017578125,50542.17969,-0.255443198,0.4832959629068715,0.1026045943612742,-0.130281687
346.76800000000003,2020,1/1/2020,8,31.308849,-81.415465,0.1767392329697668,0.5411149263381958,1.2405362129211426,0.015968064,309.3223876953125,50542.17969,-0.267473973,0.4995663144105222,0.063543004,0.1078571379184722
66.624,2002,1/1/2002,8,31.308879,-81.415556,0.1456127633539052,0.7742878198623657,1.1600558757781982,0.015968064,308.6863098144531,50542.17969,-0.2635008,0.4802434610955754,0.026688618,0.1697260290384292
377.872,2005,1/1/2005,8,31.308879,-81.415556,0.1384168460345892,0.7742878198623657,1.1600558757781982,0.015968064,331.9556579589844,50542.17969,-0.271571506,0.3747725281391121,0.055227863,0.3142465651035309
227.696,2013,1/1/2013,8,31.308879,-81.415556,0.2188687248405824,0.7742878198623657,1.1600558757781982,0.015968064,336.61053466796875,50542.17969,-0.375690621,0.5637567837310191,0.061017238,0.1190411001443862
1049.76,2014,1/1/2014,8,31.308879000000005,-81.415556,0.1883595028545883,0.7742878198623657,1.1600558757781982,0.015968064,342.20391845703125,50542.17969,-0.251571826,0.4220084125451767,0.071913572,0.1209589019417762
368.496,2015,1/1/2015,8,31.308927,-81.415591,0.1730956701762608,0.7742878198623657,1.1600558757781982,0.013916501,316.0119629,50542.17969,-0.294021495,0.4648651836553569,0.078139583,0.1046575382351875
746.848,2016,1/1/2016,8,31.308927,-81.415591,0.1817863261430724,0.7742878198623657,1.1600558757781982,0.013916501,332.3839111328125,50542.17969,-0.297963741,0.515807134,0.1287201695383767,-0.249589026
675.424,2017,1/1/2017,8,31.308927,-81.415591,0.2181875418812709,0.7742878198623657,1.1600558757781982,0.013916501,326.7010803222656,50542.17969,-0.293336469,0.5594522151561943,0.057931438,0.000684929
420.896,2018,1/1/2018,8,31.308927,-81.415591,0.1772407634708597,0.7742878198623657,1.1600558757781982,0.013916501,330.67413330078125,50542.17969,-0.286431541,0.504968273,0.063960249,0.2300000041723251
200.592,2019,1/1/2019,8,31.308927,-81.415591,0.1687337115170001,0.7742878198623657,1.1600558757781982,0.013916501,320.10968017578125,50542.17969,-0.25823174,0.4749181513585317,0.1026045943612742,-0.130281687
712.24,2020,1/1/2020,8,31.308927,-81.415591,0.1919566191677711,0.7742878198623657,1.1600558757781982,0.013916501,309.3223876953125,50542.17969,-0.274676539,0.4928379142409286,0.064373024,0.1078571379184722
391.696,2021,1/1/2021,8,31.308927,-81.415591,0.1824304093764756,0.7742878198623657,1.1600558757781982,0.013916501,334.4214172363281,50542.17969,-0.276344155,0.4824165085578896,0.072767643,0.2375342398881912
654.704,2022,1/1/2022,8,31.308927,-81.415591,0.1617659788784488,0.7742878198623657,1.1600558757781982,0.013916501,339.8260803222656,50542.17969,-0.23161355,0.4418366993805969,0.090947028,-0.14643836
100.16,2002,1/1/2002,8,31.308965,-81.415714,0.1370525014774341,0.480322003,1.1969118118286133,0.013916501,308.6863098144531,50542.17969,-0.256301568,0.4450163390163187,0.083883859,0.1697260290384292
128.656,2005,1/1/2005,8,31.308965,-81.415714,0.1271792406196434,0.480322003,1.1969118118286133,0.013916501,331.9556579589844,50542.17969,-0.296268685,0.31212597,0.094546023,0.3142465651035309
43.776,2008,1/1/2008,8,31.308965,-81.415714,0.1592895740872469,0.480322003,1.1969118118286133,0.013916501,335.3720703,50542.17969,-0.269691868,0.455490427,0.1340861501645231,-0.20863013
218.848,2013,1/1/2013,8,31.308965,-81.415714,0.2307678109638689,0.480322003,1.1969118118286133,0.013916501,336.61053466796875,50542.17969,-0.394688605,0.5834354072564044,0.051487647,0.1190411001443862
661.712,2014,1/1/2014,8,31.308965,-81.415714,0.1968735311724195,0.480322003,1.1969118118286133,0.013916501,342.20391845703125,50542.17969,-0.257661265,0.4430973132894382,0.074941162,0.1209589019417762
211.92,2018,1/1/2018,8,31.308979,-81.415683,0.1772407634708597,0.6219322681427002,1.3238130807876587,0.013916501,330.67413330078125,50542.17969,-0.286431541,0.504968273,0.063960249,0.2300000041723251
46.448,2019,1/1/2019,8,31.308979,-81.415683,0.1687337115170001,0.6219322681427002,1.3238130807876587,0.013916501,320.10968017578125,50542.17969,-0.25823174,0.4749181513585317,0.1026045943612742,-0.130281687
32.288,2020,1/1/2020,8,31.308979,-81.415683,0.1919566191677711,0.6219322681427002,1.3238130807876587,0.013916501,309.3223876953125,50542.17969,-0.274676539,0.4928379142409286,0.064373024,0.1078571379184722
122.928,2021,1/1/2021,8,31.308979,-81.415683,0.1824304093764756,0.6219322681427002,1.3238130807876587,0.013916501,334.4214172363281,50542.17969,-0.276344155,0.4824165085578896,0.072767643,0.2375342398881912
79.696,2022,1/1/2022,8,31.308979,-81.415683,0.1617659788784488,0.6219322681427002,1.3238130807876587,0.013916501,339.8260803222656,50542.17969,-0.23161355,0.4418366993805969,0.090947028,-0.14643836
378.768,2015,1/1/2015,8,31.30898,-81.415683,0.1730956701762608,0.6219322681427002,1.3238130807876587,0.013916501,316.0119629,50542.17969,-0.294021495,0.4648651836553569,0.078139583,0.1046575382351875
493.6,2016,1/1/2016,8,31.30898,-81.415683,0.1817863261430724,0.6219322681427002,1.3238130807876587,0.013916501,332.3839111328125,50542.17969,-0.297963741,0.515807134,0.1287201695383767,-0.249589026
558.368,2017,1/1/2017,8,31.30898,-81.415683,0.2181875418812709,0.6219322681427002,1.3238130807876587,0.013916501,326.7010803222656,50542.17969,-0.293336469,0.5594522151561943,0.057931438,0.000684929
733.952,2014,1/1/2014,8,31.309047,-81.415772,0.1968735311724195,0.480322003,1.1969118118286133,0.013916501,342.20391845703125,50542.17969,-0.257661265,0.4430973132894382,0.074941162,0.1209589019417762
617.92,2016,1/1/2016,8,31.309047,-81.415772,0.1817863261430724,0.480322003,1.1969118118286133,0.013916501,332.3839111328125,50542.17969,-0.297963741,0.515807134,0.1287201695383767,-0.249589026
1.664,2018,1/1/2018,8,31.309047,-81.415772,0.1772407634708597,0.480322003,1.1969118118286133,0.013916501,330.67413330078125,50542.17969,-0.286431541,0.504968273,0.063960249,0.2300000041723251
267.28000000000003,2019,1/1/2019,8,31.309047,-81.415772,0.1687337115170001,0.480322003,1.1969118118286133,0.013916501,320.10968017578125,50542.17969,-0.25823174,0.4749181513585317,0.1026045943612742,-0.130281687
246.72,2020,1/1/2020,8,31.309047,-81.415772,0.1919566191677711,0.480322003,1.1969118118286133,0.013916501,309.3223876953125,50542.17969,-0.274676539,0.4928379142409286,0.064373024,0.1078571379184722
492.544,2021,1/1/2021,8,31.309047,-81.415772,0.1824304093764756,0.480322003,1.1969118118286133,0.013916501,334.4214172363281,50542.17969,-0.276344155,0.4824165085578896,0.072767643,0.2375342398881912
382.592,2022,1/1/2022,8,31.309047,-81.415772,0.1617659788784488,0.480322003,1.1969118118286133,0.013916501,339.8260803222656,50542.17969,-0.23161355,0.4418366993805969,0.090947028,-0.14643836
368.432,2017,1/1/2017,8,31.309047000000003,-81.415772,0.2181875418812709,0.480322003,1.1969118118286133,0.013916501,326.7010803222656,50542.17969,-0.293336469,0.5594522151561943,0.057931438,0.000684929
469.216,2015,1/1/2015,8,31.309052999999995,-81.415765,0.1730956701762608,0.480322003,1.1969118118286133,0.013916501,316.0119629,50542.17969,-0.294021495,0.4648651836553569,0.078139583,0.1046575382351875
661.5360000000001,2005,1/1/2005,8,31.309053,-81.415765,0.1271792406196434,0.480322003,1.1969118118286133,0.013916501,331.9556579589844,50542.17969,-0.296268685,0.31212597,0.094546023,0.3142465651035309
809.312,2008,1/1/2008,8,31.309053,-81.415765,0.1592895740872469,0.480322003,1.1969118118286133,0.013916501,335.3720703,50542.17969,-0.269691868,0.455490427,0.1340861501645231,-0.20863013
121.008,2013,1/1/2013,8,31.309053,-81.415765,0.2307678109638689,0.480322003,1.1969118118286133,0.013916501,336.61053466796875,50542.17969,-0.394688605,0.5834354072564044,0.051487647,0.1190411001443862
1023.402,2008,1/1/2008,7,31.334523999999995,-81.478495,0.144547121,3.0813868045806885,0.7647024393081665,0.5723370429252782,340.56988525390625,50542.17969,-0.614362876,0.5631244034362074,-0.011325537,-0.19027397
974.992,2000,1/1/2000,7,31.334524,-81.478495,0.164687785,3.0813868045806885,0.7647024393081665,0.5723370429252782,347.2490234,50542.17969,-0.636523793,0.4795969539278988,0.031824483,-0.252602726
1045.356,2001,1/1/2001,7,31.334524,-81.478495,0.1398683351997463,3.0813868045806885,0.7647024393081665,0.5723370429252782,351.7588195800781,50542.17969,-0.561273491,0.4665402884338847,-0.00271079,-0.140000001
2202.152,2002,1/1/2002,7,31.334524,-81.478495,0.1981025101878115,3.0813868045806885,0.7647024393081665,0.5723370429252782,313.48858642578125,50542.17969,-0.623060615,0.574888017,0.029490617,0.1787671148777008
1549.572,2004,1/1/2004,7,31.334524,-81.478495,0.2051822169578191,3.0813868045806885,0.7647024393081665,0.5723370429252782,327.1685791015625,50542.17969,-0.692617573,0.6283142389525366,0.038424378,-0.176712319
1181.64,2006,1/1/2006,7,31.334524,-81.478495,0.139409513,3.0813868045806885,0.7647024393081665,0.5723370429252782,354.9269714355469,50542.17969,-0.616071232,0.4146801593265439,0.059704916,-0.329726011
993.056,2007,1/1/2007,7,31.334524,-81.478495,0.2071012169992429,3.0813868045806885,0.7647024393081665,0.5723370429252782,322.55914306640625,50542.17969,-0.67535304,0.58503863,-0.007580305,-0.286712319
893.406,2010,1/1/2010,7,31.334524,-81.478495,0.1508777031325605,3.0813868045806885,0.7647024393081665,0.5723370429252782,351.2618408203125,50542.17969,-0.622968273,0.4505128046081082,0.043241075,-0.523150682
908.836,2011,1/1/2011,7,31.334524,-81.478495,0.1532226,3.0813868045806885,0.7647024393081665,0.5723370429252782,356.5606384277344,50542.17969,-0.659845444,0.503125682,0.048650488,-0.435068488
1317.458,2012,1/1/2012,7,31.334524,-81.478495,0.1590541542193572,3.0813868045806885,0.7647024393081665,0.5723370429252782,332.4996643066406,50542.17969,-0.666198045,0.5490086532183742,0.027215313,-0.317808211
