marshRegion,liveMass,longitude,latitude,deadMass,totalMass
1,11.100000000000001,-75.37274000000001,37.90311400000001,4.418181818181818,15.518181818181823
1,25.415833333333335,-75.37274000000001,37.90311400000001,6.442499999999999,31.858333333333334
1,7.865,-75.37274000000001,37.90311400000001,7.1659999999999995,15.031
1,40.16875,-75.671577,37.625273,10.91875,51.087499999999984
1,21.006249999999998,-75.671577,37.625273,4.76875,25.775000000000002
1,16.917333333333332,-75.671577,37.625273,1.6586666666666667,18.576
1,66.67,-75.671577,37.625273,0.0,66.67
1,5.455,-75.87609396,37.39574644,7.4087499999999995,12.863750000000001
1,38.18333333333334,-75.87609396,37.39574644,12.766666666666666,50.95000000000001
1,59.60625,-75.87609396,37.39574644,12.6475,72.25375
1,29.087499999999995,-75.87609396000002,37.395746439999996,16.209166666666665,45.29666666666666
1,32.547999999999995,-75.87609395999998,37.39574644000002,5.895999999999999,38.444
1,30.342777777777776,-75.87609395999999,37.39574644000001,10.67388888888889,41.016666666666666
1,33.362500000000004,-75.87609396,37.39574644,3.0275,36.39
1,23.378125000000004,-75.87609396,37.39574644,6.331875,29.71
1,31.222666666666665,-75.87609396,37.39574644,5.213333333333334,36.436
1,27.724166666666665,-75.87609396000002,37.395746439999996,5.664166666666667,33.38833333333333
1,20.32111111111111,-75.87609395999999,37.39574644000001,3.6938888888888886,24.015
1,21.977222222222224,-75.87609395999999,37.39574644000001,4.658333333333333,26.635555555555552
1,31.903076923076924,-75.87609396000002,37.395746439999996,6.178461538461538,38.081538461538464
1,24.810714285714283,-75.87609396000002,37.395746439999996,0.0,24.810714285714283
1,27.804999999999996,-75.87609396000002,37.395746439999996,0.0,27.804999999999996
1,20.482000000000003,-75.87609396,37.39574644,0.0,20.482000000000003
1,25.433846153846154,-75.87609396000002,37.395746439999996,0.0,25.433846153846154
1,15.14,-75.87609396,37.39574644,0.0,15.254285714285714
1,15.94,-75.87609396,37.39574644,0.0,15.94
1,8.19,0.0,0.0,18.2,26.39
1,48.42631578947369,-75.65224800000003,37.709249,12.052631578947368,60.478947368421046
1,26.67234042553192,-75.65224799999997,37.709249,15.163829787234041,41.836170212765964
1,45.598124999999996,-75.65224800000001,37.709249,24.439375000000005,70.0375
1,35.55142857142858,-75.652248,37.709249,15.33285714285714,50.88428571428572
1,13.155789473684212,-75.94233123999999,37.17505488999999,14.860000000000001,28.015789473684215
1,28.076470588235296,-75.94233124,37.17505489,16.870588235294115,44.9470588235294
1,23.525882352941174,-75.94233124,37.17505489,14.42235294117647,37.94823529411764
1,17.778181818181817,-75.94233123999999,37.175054889999984,8.511818181818182,26.29
1,35.262,-75.94233123999999,37.17505488999999,9.019499999999997,44.2815
1,32.085,-75.94233124,37.17505489,24.264374999999998,56.34937500000001
1,27.873125,-75.94233124,37.17505489,11.310625,39.18375
1,26.55266666666667,-75.94233124,37.17505489,6.377333333333334,32.93
1,33.964375,-75.94233124,37.17505489,10.021249999999998,43.985625
1,15.295333333333334,-75.94233124,37.17505489,4.935999999999999,20.231333333333335
1,25.689285714285717,-75.94233124000002,37.175054890000006,0.0,25.689285714285717
1,33.135999999999996,-75.94233124,37.17505489,0.0,33.135999999999996
1,18.03277777777778,-75.94233123999999,37.17505488999999,0.0,18.03277777777778
1,27.162499999999994,-75.94233124000002,37.175054890000006,0.0,27.162499999999994
1,11.702222222222222,-75.94233123999999,37.17505488999999,0.0,12.221578947368421
1,6.275263157894737,-75.94058642000002,37.167408949999995,18.03,24.30526315789474
1,17.76875,-75.94058642000002,37.167408949999995,9.737499999999999,27.506249999999998
1,14.356499999999997,-75.94058642000002,37.167408949999995,5.673,20.0295
1,11.115714285714287,-75.94058642000002,37.167408949999995,4.327857142857143,15.44357142857143
1,16.205555555555552,-75.94058642000002,37.167408949999995,2.844444444444445,19.05
1,23.732,-75.94058642000002,37.167408949999995,6.236,29.968000000000007
1,34.086666666666666,-75.94058642000002,37.167408949999995,9.272222222222224,43.35888888888889
1,32.97071428571429,-75.94058642000002,37.167408949999995,13.45142857142857,46.42214285714285
1,26.096,-75.94058642000002,37.167408949999995,11.956,38.05199999999999
1,19.20928571428571,-75.94058642000002,37.167408949999995,4.3549999999999995,23.564285714285713
1,26.112142857142857,-75.94058642000002,37.167408949999995,9.120714285714286,35.23285714285714
1,39.2479375,-75.94058642000002,37.167408949999995,6.5226875,45.770625
1,40.33529411764705,-75.94058642000002,37.167408949999995,11.442941176470589,51.77823529411764
1,30.754705882352944,-75.94058642000002,37.167408949999995,0.0,30.754705882352944
1,24.669375,-75.94058642000002,37.167408949999995,0.0,24.669375
1,18.418823529411764,-75.94058642000002,37.167408949999995,0.0,18.418823529411764
1,22.456923076923076,-75.94058642000002,37.167408949999995,0.0,22.456923076923076
1,10.301666666666668,-75.94058642000002,37.167408949999995,0.0,10.301666666666668
1,3.505,-75.81495407,37.48503287,32.653124999999996,36.158125
1,23.092307692307696,-75.81495407,37.48503287,14.323076923076922,37.41538461538461
1,23.60181818181818,-75.81495407,37.48503287,7.3481818181818195,30.95000000000001
1,12.517999999999999,-75.81495407,37.48503287,6.04,18.558000000000003
1,18.97333333333333,-75.68133466666663,37.436646746666675,8.724444444444444,27.697777777777777
1,35.24848484848486,-75.68595123393936,37.42874554121212,12.515151515151517,47.763636363636344
1,41.01945945945945,-75.68316465729727,37.4335147372973,16.21054054054054,57.23
1,18.00096774193548,-75.68351884903223,37.43290854193548,12.11483870967742,30.115806451612904
1,29.584999999999994,-75.68441237818179,37.43137927636363,10.918181818181818,40.503181818181815
