Latitude,Longitude,Site name,year,type,biomass_1984,biomass_1985,biomass_1986,biomass_1987,biomass_1988,biomass_1989,biomass_1990,biomass_1991,biomass_1992,biomass_1993,biomass_1994,biomass_1995,biomass_1996,biomass_1997,biomass_1998,biomass_1999,biomass_2000,biomass_2001,biomass_2002,biomass_2003,biomass_2004,biomass_2005,biomass_2006,biomass_2007,biomass_2008,biomass_2009,biomass_2010,biomass_2011,biomass_2012,biomass_2013,biomass_2014,biomass_2015,biomass_2016,biomass_2017,biomass_2018,biomass_2019,biomass_2020,biomass_2021,biomass_2022,biomass_2023
31.122967,-81.477183,Plantation Creek Site,2010,Oyster Reef,440.664306640625,672.8555908203125,456.7208251953125,469.3758239746094,478.7154541015625,783.581787109375,440.664306640625,1673.5479736328125,669.9195556640625,444.27313232421875,674.8649291992188,684.0728149414062,687.1686401367188,455.5963134765625,483.58758544921875,468.70660400390625,468.6302490234375,466.0274658203125,681.7670288085938,465.1017761230469,681.382080078125,681.5597534179688,453.0612487792969,681.851318359375,440.6020202636719,678.240966796875,441.16302490234375,441.25799560546875,442.7931823730469,683.6402587890625,463.57940673828125,685.8045654296875,453.62164306640625,679.4488525390625,454.0959167480469,456.30615234375,686.9600219726562,681.64404296875,461.06365966796875,470.47918701171875
31.83865,-81.15333333,Florida Passage Site,2012,Oyster Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.04801667,-81.01923333,Oatland Site,2014,Oyster Reef,522.1621704101562,452.22137451171875,504.5553894042969,524.7310180664062,507.8819885253906,505.0033874511719,420.9656066894531,541.3912353515625,488.8854675292969,459.76776123046875,531.6528930664062,633.3289184570312,524.7976684570312,566.8218383789062,506.3697814941406,426.9671630859375,442.6328125,367.7507019042969,486.0610046386719,432.09722900390625,508.1889953613281,498.94024658203125,394.7283630371094,548.922119140625,419.5535583496094,453.5315246582031,403.39385986328125,357.2569274902344,343.2192077636719,468.2818908691406,442.0075378417969,518.9385986328125,406.2466735839844,412.1792297363281,431.9946594238281,345.0992736816406,498.09490966796875,481.3785400390625,417.1121826171875,431.30810546875
31.9888,-81.02488333,Skidaway River Site,2010,Oyster Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.32615,-81.32228333,Estuaries Area of the Altamaha River,2009,Oyster Reef,433.4261474609375,433.4261474609375,349.98016357421875,362.8405456542969,436.4776306152344,433.4261474609375,316.0190124511719,433.4261474609375,433.4261474609375,276.1510009765625,433.4261474609375,433.4261474609375,436.37420654296875,329.18280029296875,329.23138427734375,300.5225830078125,234.75262451171875,255.6243438720703,368.17816162109375,268.6842041015625,372.21148681640625,1856.198974609375,441.1266174316406,1843.0167236328125,1783.532470703125,1950.8922119140625,1817.9144287109375,1655.114013671875,721.4194946289062,1972.831787109375,1817.89453125,1908.5738525390625,1671.494873046875,1948.199951171875,1817.9144287109375,838.5449829101562,1973.3699951171875,1840.837890625,1630.70654296875,655.4298706054688
31.04165,-81.42301667,Jekyll Island Boat Ramp Site,2009,Oyster Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.00298333,-80.91781667,Oyster Creek Site A,2013,Oyster Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.00441667,-80.91488333,Oyster Creek Site B,2013,Oyster Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.00795,-80.91168333,Oyster Creek Site C,2013,Oyster Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0808,-81.50021667,Jointer Creek Oyster Reef A,2012,Oyster Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0796,-81.49396667,Jointer Creek Oyster Reef B,2012,Oyster Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.08058333,-81.49078333,Jointer Creek Oyster Reef C,2012,Oyster Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0704,-81.47005,Jointer Creek Oyster Reef D,2012,Oyster Reef,581.4835205078125,773.3121948242188,601.1007080078125,570.5557861328125,588.5164184570312,732.7695922851562,491.6767883300781,593.7192993164062,731.509033203125,604.171630859375,875.978515625,894.5120849609375,868.5752563476562,559.5441284179688,580.96435546875,547.9453125,480.6798095703125,517.6215209960938,756.5040893554688,498.4850158691406,834.3366088867188,872.0968017578125,372.06146240234375,724.7546997070312,483.4490051269531,879.4485473632812,443.2682800292969,397.9723815917969,453.759521484375,797.0910034179688,539.4986572265625,871.9749145507812,559.986572265625,695.7656860351562,572.137451171875,494.5239562988281,569.6296997070312,881.2470092773438,572.1002197265625,1759.4200439453125
31.12626667,-81.47906667,Turtle A,2014,Oyster Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.1941,-81.53143333,Turtle B,2014,Oyster Reef,304.861328125,414.1099853515625,350.70513916015625,447.1723937988281,476.2132873535156,427.75482177734375,351.89190673828125,461.73583984375,400.4943542480469,320.55615234375,536.1292114257812,567.1885986328125,410.01507568359375,375.33837890625,338.32977294921875,338.80816650390625,335.90240478515625,328.1935729980469,435.40850830078125,328.05963134765625,524.144287109375,502.2584533691406,283.3849792480469,408.9626770019531,269.0536193847656,396.7438659667969,299.40118408203125,291.16015625,266.8167419433594,515.7908325195312,344.535888671875,445.6293640136719,328.8162841796875,422.94854736328125,340.016357421875,268.62115478515625,573.8042602539062,527.3878173828125,359.9728698730469,381.5072021484375
31.19638333,-81.53795,Turtle C,2014,Oyster Reef,507.0572204589844,834.7786865234375,511.3291931152344,509.1348571777344,747.1478271484375,784.3160400390625,506.3421630859375,544.6810913085938,882.798583984375,542.279296875,750.6895751953125,796.2715454101562,531.9658813476562,507.6241149902344,530.5505981445312,511.2076721191406,510.75897216796875,509.1348571777344,919.6921997070312,511.96087646484375,777.6021728515625,753.0333251953125,504.1724548339844,776.5608520507812,508.9371643066406,753.6629638671875,504.1724548339844,504.1724548339844,527.7781372070312,748.069091796875,509.1314392089844,832.510986328125,509.2147216796875,756.885009765625,508.6507263183594,535.9835205078125,938.5370483398438,753.0737915039062,505.3018798828125,541.470458984375
