Site,Latitude,Longitude,Type,biomass_1984,biomass_1985,biomass_1986,biomass_1987,biomass_1988,biomass_1989,biomass_1990,biomass_1991,biomass_1992,biomass_1993,biomass_1994,biomass_1995,biomass_1996,biomass_1997,biomass_1998,biomass_1999,biomass_2000,biomass_2001,biomass_2002,biomass_2003,biomass_2004,biomass_2005,biomass_2006,biomass_2007,biomass_2008,biomass_2009,biomass_2010,biomass_2011,biomass_2012,biomass_2013,biomass_2014,biomass_2015,biomass_2016,biomass_2017,biomass_2018,biomass_2019,biomass_2020,biomass_2021,biomass_2022,biomass_2023
Little Cumberland Island,30.9501352,-81.4212473,LS,629.5621337890625,771.87255859375,625.3930053710938,609.2872314453125,644.0494995117188,769.541015625,616.6707153320312,694.7182006835938,777.8919067382812,621.55322265625,803.1354370117188,869.880859375,774.10302734375,663.0773315429688,654.1216430664062,609.9677124023438,609.2044067382812,636.6005249023438,765.203125,649.2542114257812,763.8097534179688,777.5864868164062,623.8368530273438,764.9597778320312,606.0732421875,632.3096313476562,611.1921997070312,586.595703125,645.1036987304688,779.0494995117188,618.7870483398438,765.9293823242188,601.16748046875,777.490234375,588.700927734375,612.7363891601562,611.4304809570312,754.83203125,597.3934936523438,601.49267578125
"Fortson Pond, Jekyll Island",31.0533724,-81.414579,LS,986.8789672851562,1053.1043701171875,971.9763793945312,998.4299926757812,1126.5335693359375,1086.3372802734375,1064.471923828125,1094.8389892578125,1040.6749267578125,1063.3389892578125,1092.981201171875,1132.3125,1127.6561279296875,1095.161376953125,1073.5545654296875,1061.80224609375,962.4395751953125,1075.275390625,877.1575317382812,899.0348510742188,1062.207763671875,1129.3511962890625,957.6106567382812,1116.0303955078125,1068.0987548828125,1120.837890625,1047.40234375,853.9577026367188,1092.1522216796875,1128.6329345703125,1058.8480224609375,1126.922119140625,1066.4024658203125,1086.3902587890625,974.6970825195312,957.5015258789062,1091.748291015625,1083.3121337890625,1064.949462890625,985.6619262695312
"DNR’s Coastal Regional Headquarters, Brunswick",31.122932,-81.4781025,LS,340.25604248046875,500.2417297363281,347.3824768066406,389.10296630859375,449.841552734375,666.0581665039062,334.1468200683594,353.14288330078125,494.05828857421875,343.33135986328125,528.6234741210938,570.4853515625,495.79046630859375,336.81512451171875,350.750732421875,315.20123291015625,328.0359802246094,333.66815185546875,488.77777099609375,343.6790771484375,510.18756103515625,511.389892578125,317.8642272949219,490.4209899902344,335.7746276855469,504.97650146484375,324.0975036621094,321.9943542480469,331.4287109375,538.8396606445312,335.9245910644531,531.1531372070312,343.69525146484375,488.9275207519531,342.8641052246094,336.85443115234375,508.5995788574219,492.9452209472656,363.1764831542969,359.9839172363281
"Beach Road Bridge, Little St. Simons Island",31.2496704,-81.2935178,LS,561.31689453125,848.2733154296875,574.2115478515625,601.9286499023438,632.9071655273438,946.942138671875,586.26904296875,1068.3619384765625,803.416259765625,725.595947265625,936.7628173828125,1078.5213623046875,1061.672119140625,643.77392578125,1001.6107788085938,957.052734375,775.5873413085938,918.1364135742188,991.5230102539062,633.8037109375,855.5630493164062,1041.2796630859375,772.1365356445312,932.6213989257812,800.2420654296875,753.123046875,759.103271484375,559.1060180664062,620.58056640625,995.7161254882812,746.9995727539062,965.9954223632812,581.8934936523438,624.1885375976562,681.1587524414062,663.0155639648438,971.2190551757812,977.1671142578125,696.566650390625,721.9234619140625
"Cannon’s Point Preserve, St. Simon’s Island",31.2600377,-81.3397779,LS,667.2607421875,736.7509765625,602.5640258789062,632.4148559570312,759.3408203125,831.8964233398438,598.7105102539062,1076.2459716796875,736.3531494140625,686.10205078125,836.2833862304688,852.91650390625,848.36962890625,707.3336181640625,709.2338256835938,676.5753784179688,622.8944702148438,577.2274169921875,712.7022705078125,708.1060180664062,803.2816772460938,864.6654663085938,626.8043212890625,763.7601928710938,575.7567138671875,702.796875,646.4412231445312,606.5224609375,655.6113891601562,893.0450439453125,668.8916015625,780.6094970703125,648.5269165039062,654.325927734375,710.1112670898438,712.993896484375,870.199462890625,830.8455810546875,686.569580078125,715.78564453125
"Mosquito Creek, Little St. Simon’s Island",31.2600784,-81.3011048,LS,616.7247314453125,867.3515014648438,605.967529296875,641.4765625,723.6233520507812,856.0696411132812,597.54443359375,938.878173828125,791.4403686523438,641.918212890625,834.280029296875,912.8082885742188,864.791748046875,617.116455078125,845.7575073242188,626.0250244140625,550.4996948242188,748.2041015625,861.770751953125,668.257568359375,799.964111328125,876.7645263671875,565.383544921875,828.3676147460938,670.4239501953125,812.7310180664062,655.78125,617.1123046875,584.394287109375,937.586181640625,718.1868286132812,963.160888671875,719.0032958984375,694.2256469726562,707.3495483398438,729.588623046875,977.1021118164062,919.7877807617188,701.898681640625,711.2885131835938
"Long Tabby, Sapelo Island",31.431955,-81.2826587,LS,869.103271484375,784.1447143554688,680.0169677734375,1002.77978515625,842.6432495117188,980.53271484375,617.9835815429688,979.0867309570312,846.7141723632812,648.285888671875,851.2825317382812,1013.782958984375,968.169677734375,669.0969848632812,1868.6138916015625,683.0343627929688,607.5274047851562,575.340576171875,898.7935180664062,693.5587768554688,768.7246704101562,992.6021118164062,556.7081298828125,968.1541137695312,571.2030639648438,615.5371704101562,618.9069213867188,508.5931091308594,614.0189819335938,984.09912109375,761.466064453125,966.0294799804688,570.44384765625,1159.30419921875,661.3168334960938,669.8017578125,927.4049682617188,565.2393188476562,1333.237548828125,1198.3551025390625
"Ashantilly, Sapelo Island",31.4355651,-81.2800035,LS,1211.470703125,1156.309326171875,1251.855712890625,1184.2667236328125,1125.873046875,1300.0673828125,1123.1546630859375,1230.90673828125,1175.849365234375,1284.7119140625,1155.2091064453125,1311.59326171875,1229.8067626953125,896.861083984375,1253.625732421875,1010.08984375,980.635986328125,1066.2705078125,1141.256103515625,1125.42822265625,1245.54443359375,1304.7742919921875,1120.4627685546875,1140.8753662109375,1183.5611572265625,1195.2684326171875,1113.2255859375,919.9022216796875,947.2874145507812,1205.71630859375,1129.65771484375,1275.08349609375,989.5797119140625,1034.7056884765625,1179.414794921875,1183.1392822265625,1084.2559814453125,1222.003662109375,971.1129150390625,1183.1572265625
"Skidaway Island State Park, Skidaway Island",31.9515771,-81.0554977,LS,692.134033203125,688.3280639648438,877.1129150390625,658.2471923828125,886.591552734375,869.4541015625,596.603759765625,767.241943359375,817.8995971679688,678.67919921875,847.962646484375,929.4796142578125,676.4681396484375,678.1259155273438,772.6959838867188,647.3038330078125,552.25146484375,523.5650634765625,833.2897338867188,563.81298828125,872.5174560546875,654.5201416015625,592.373779296875,833.3402709960938,545.3173828125,823.4775390625,558.6678466796875,543.046630859375,495.50689697265625,817.3406982421875,554.2691040039062,856.0193481445312,632.39501953125,514.2684936523438,514.65234375,479.46685791015625,604.77490234375,567.6201782226562,599.156982421875,589.331787109375
"Burton 4-H, Tybee Island",32.0077322,-80.8513245,LS,582.9871826171875,611.4921264648438,848.1975708007812,597.7933349609375,844.0607299804688,872.9462280273438,636.5051879882812,830.16259765625,791.4747314453125,612.8914794921875,845.0958251953125,871.9696655273438,793.0509033203125,984.8438720703125,578.127197265625,640.218994140625,577.4417724609375,564.0389404296875,893.5477294921875,565.8037719726562,904.2940673828125,650.5679321289062,573.4541015625,879.0084838867188,530.5238647460938,831.9852294921875,575.46240234375,568.044677734375,584.1202392578125,801.7271728515625,635.6467895507812,879.0203247070312,570.3380126953125,525.93359375,555.61376953125,564.9263916015625,600.9497680664062,594.1043701171875,605.0372314453125,586.8134155273438
