Site,Latitude,Longitude,Type,biomass_1984,biomass_1985,biomass_1986,biomass_1987,biomass_1988,biomass_1989,biomass_1990,biomass_1991,biomass_1992,biomass_1993,biomass_1994,biomass_1995,biomass_1996,biomass_1997,biomass_1998,biomass_1999,biomass_2000,biomass_2001,biomass_2002,biomass_2003,biomass_2004,biomass_2005,biomass_2006,biomass_2007,biomass_2008,biomass_2009,biomass_2010,biomass_2011,biomass_2012,biomass_2013,biomass_2014,biomass_2015,biomass_2016,biomass_2017,biomass_2018,biomass_2019,biomass_2020,biomass_2021,biomass_2022,biomass_2023
Little Cumberland Island,30.9501352,-81.4212473,LS,900.1178588867188,1003.4410400390625,863.191650390625,888.1862182617188,879.7081909179688,1053.742431640625,891.9309692382812,984.4619750976562,1036.910888671875,928.0811767578125,1071.923095703125,1133.74072265625,1049.0811767578125,935.6592407226562,934.4876098632812,883.6997680664062,893.9484252929688,945.0298461914062,1039.0216064453125,947.4505004882812,1046.788818359375,1068.8878173828125,903.916015625,1041.1478271484375,887.8065185546875,929.9050903320312,902.111328125,846.0260009765625,911.3373413085938,1076.2027587890625,903.8633422851562,1064.9068603515625,893.880615234375,1043.8541259765625,908.5843505859375,901.15234375,918.2557373046875,1022.9705810546875,880.6040649414062,847.3721923828125
"Fortson Pond, Jekyll Island",31.0533724,-81.414579,LS,824.06005859375,947.5165405273438,807.591064453125,817.7243041992188,899.0386962890625,1011.567138671875,861.2474975585938,1040.0435791015625,967.5783081054688,883.83447265625,1013.6502075195312,1059.6571044921875,1048.5665283203125,912.8629150390625,950.5665893554688,881.5667114257812,779.2468872070312,1035.293212890625,904.5811157226562,871.3037719726562,996.1725463867188,1062.73779296875,837.7756958007812,989.05322265625,878.4337158203125,1029.9180908203125,880.0582275390625,728.4323120117188,859.07373046875,1060.5086669921875,827.7823486328125,1023.1631469726562,880.6968994140625,992.1887817382812,850.3887939453125,843.21435546875,1025.5399169921875,1012.622314453125,900.0524291992188,821.50537109375
"DNR’s Coastal Regional Headquarters, Brunswick",31.122932,-81.4781025,LS,346.5484619140625,499.46832275390625,355.624267578125,389.0864562988281,408.9681091308594,584.3046264648438,340.12359619140625,493.94476318359375,501.1819152832031,348.3831787109375,531.247802734375,576.0755615234375,516.126953125,348.87799072265625,365.8232421875,328.9600830078125,342.4408264160156,342.1686096191406,518.061279296875,356.4221496582031,523.4732666015625,523.3247680664062,328.4239196777344,493.6744384765625,344.1322021484375,508.9206848144531,329.8337707519531,324.69683837890625,333.79010009765625,545.282470703125,352.7437438964844,542.2291259765625,362.2383728027344,496.3414306640625,359.2651062011719,356.2720947265625,533.9280395507812,571.112548828125,374.2112731933594,371.6645202636719
"Beach Road Bridge, Little St. Simons Island",31.2496704,-81.2935178,LS,582.1187744140625,839.748779296875,582.39892578125,619.8868408203125,634.64599609375,940.610107421875,628.5142822265625,1064.2098388671875,810.1006469726562,665.893798828125,888.06396484375,1057.76025390625,1046.2464599609375,707.4840087890625,1013.7753295898438,949.912353515625,851.8909301757812,866.0311889648438,972.1967163085938,728.2129516601562,914.399169921875,1052.4501953125,793.8719482421875,951.998779296875,827.7759399414062,813.591064453125,804.52978515625,621.7318725585938,661.8409423828125,1000.575439453125,788.2101440429688,987.4031372070312,662.1600952148438,751.7732543945312,734.8911743164062,752.9141235351562,976.2498168945312,995.127685546875,750.7347412109375,759.2996215820312
"Cannon’s Point Preserve, St. Simon’s Island",31.2600377,-81.3397779,LS,563.5764770507812,669.7216186523438,550.2805786132812,581.9100952148438,691.9263305664062,744.906494140625,526.3375854492188,996.59033203125,665.6028442382812,585.2102661132812,742.8980102539062,790.7438354492188,767.07373046875,603.3684692382812,618.7523803710938,569.1116333007812,548.9826049804688,513.8711547851562,656.3562622070312,611.0617065429688,734.637451171875,795.292724609375,499.5223083496094,717.3872680664062,501.6578674316406,597.783203125,527.9551391601562,484.6372375488281,519.1840209960938,799.6735229492188,548.7135009765625,691.7053833007812,558.3690795898438,539.4855346679688,595.4164428710938,609.6226196289062,786.9171752929688,754.8550415039062,570.5023803710938,644.01806640625
"Mosquito Creek, Little St. Simon’s Island",31.2600784,-81.3011048,LS,620.9938354492188,821.9840087890625,608.30419921875,633.0614013671875,705.111572265625,810.5107421875,579.79541015625,836.1513671875,744.1165771484375,634.258544921875,787.88232421875,876.895751953125,821.060546875,613.2825927734375,776.146728515625,605.430908203125,560.32373046875,675.3922729492188,803.3640747070312,649.75537109375,750.6187744140625,820.9189453125,572.206298828125,782.7673950195312,626.0245971679688,743.23828125,623.22216796875,584.86474609375,584.6024780273438,896.66259765625,669.8046264648438,887.2252197265625,685.6065673828125,663.3555908203125,755.9095458984375,685.0608520507812,902.7730712890625,850.01513671875,669.3727416992188,674.1915283203125
"Long Tabby, Sapelo Island",31.431955,-81.2826587,LS,869.103271484375,784.144775390625,680.0169677734375,1002.7797241210938,842.6431274414062,980.53271484375,617.9835815429688,979.0868530273438,846.714111328125,648.2858276367188,851.2825317382812,1013.782958984375,968.169677734375,669.0969848632812,1868.6141357421875,683.0343627929688,607.5274047851562,575.3406372070312,898.7935180664062,693.5587768554688,768.7246704101562,992.60205078125,556.7081298828125,968.1541137695312,571.2030639648438,615.5371704101562,618.9069213867188,508.5930480957031,614.0189819335938,984.09912109375,761.466064453125,966.0294799804688,570.44384765625,1159.30419921875,661.3168334960938,669.8017578125,927.405029296875,565.2393188476562,1333.2376708984375,1198.3551025390625
"Ashantilly, Sapelo Island",31.4355651,-81.2800035,LS,1146.234130859375,1185.8302001953125,1169.405517578125,1129.2021484375,1107.804443359375,1218.1556396484375,1047.1842041015625,1169.941650390625,1168.346923828125,1186.905029296875,1130.7774658203125,1233.763671875,1154.486572265625,966.6173706054688,1213.89990234375,1086.0010986328125,1019.6104736328125,1028.707275390625,1166.3814697265625,1057.8187255859375,1168.8212890625,1229.97314453125,1062.593505859375,1169.563720703125,1111.664794921875,1142.5174560546875,1073.6971435546875,953.3297729492188,1022.7937622070312,1145.1533203125,1089.892333984375,1227.9652099609375,1079.6077880859375,1056.0892333984375,1135.0906982421875,1117.5601806640625,1151.4945068359375,1192.75732421875,1034.937255859375,1136.664306640625
"Skidaway Island State Park, Skidaway Island",31.9515771,-81.0554977,LS,752.2492065429688,785.4462280273438,913.1701049804688,723.0198364257812,924.264404296875,916.3541259765625,685.38525390625,797.2323608398438,859.9793090820312,752.3869018554688,876.2882690429688,968.3634643554688,759.10693359375,753.8939208984375,858.3816528320312,724.3699340820312,656.2647705078125,614.1464233398438,900.5335083007812,659.46826171875,922.6771850585938,723.617431640625,663.6101684570312,897.130859375,654.9268188476562,863.8618774414062,657.3203125,640.4029541015625,583.8961791992188,859.5365600585938,655.3989868164062,913.19384765625,691.0752563476562,610.7129516601562,629.8209838867188,540.7775268554688,704.2653198242188,653.1503295898438,680.8697509765625,678.3341674804688
"Burton 4-H, Tybee Island",32.0077322,-80.8513245,LS,620.4671020507812,590.4327392578125,789.9068603515625,617.4532470703125,759.0053100585938,810.5575561523438,607.0188598632812,834.9132690429688,747.6856689453125,582.1004638671875,795.9393920898438,892.9573974609375,788.8325805664062,688.0584716796875,734.9439086914062,773.0671997070312,600.7381591796875,598.6737670898438,791.5742797851562,630.0704345703125,865.0816650390625,797.4179077148438,643.1554565429688,851.6596069335938,574.8676147460938,785.05029296875,600.5499267578125,594.0330810546875,581.0238037109375,814.3677978515625,716.8359375,892.1631469726562,666.8834228515625,630.7998657226562,642.5192260742188,656.8499145507812,691.2686767578125,668.0701293945312,687.3760375976562,654.7966918945312
