Site,Latitude,Longitude,Type,biomass_1984,biomass_1985,biomass_1986,biomass_1987,biomass_1988,biomass_1989,biomass_1990,biomass_1991,biomass_1992,biomass_1993,biomass_1994,biomass_1995,biomass_1996,biomass_1997,biomass_1998,biomass_1999,biomass_2000,biomass_2001,biomass_2002,biomass_2003,biomass_2004,biomass_2005,biomass_2006,biomass_2007,biomass_2008,biomass_2009,biomass_2010,biomass_2011,biomass_2012,biomass_2013,biomass_2014,biomass_2015,biomass_2016,biomass_2017,biomass_2018,biomass_2019,biomass_2020,biomass_2021,biomass_2022,biomass_2023
Little Cumberland Island,30.9501352,-81.4212473,LS,845.6322021484375,933.8134765625,799.1166381835938,824.8084716796875,816.1197509765625,979.3203125,828.9681396484375,901.66015625,982.3984375,837.90234375,998.4632568359375,1070.6224365234375,978.0640869140625,890.8352661132812,870.6285400390625,828.2579956054688,842.63720703125,866.6932373046875,982.2650146484375,882.5808715820312,974.0882568359375,987.013671875,823.6921997070312,980.1907958984375,845.9581909179688,857.4967651367188,816.6232299804688,788.9654541015625,863.2493286132812,1015.76123046875,840.6480712890625,983.9498291015625,818.7400512695312,980.4031982421875,818.7420654296875,829.7556762695312,835.8214111328125,940.8611450195312,815.248779296875,786.9608154296875
"Fortson Pond, Jekyll Island",31.0533724,-81.414579,LS,885.1627197265625,988.7164916992188,881.0330810546875,889.2525634765625,959.0286865234375,1035.771240234375,915.8980102539062,1041.485107421875,983.2861938476562,932.2756958007812,1037.238037109375,1092.314208984375,1082.2987060546875,975.4721069335938,1020.8924560546875,933.8646240234375,862.5223999023438,1049.60986328125,909.3460083007812,905.8489990234375,1022.2411499023438,1095.2999267578125,905.5590209960938,1021.399169921875,928.606201171875,1057.380126953125,963.1591186523438,784.354248046875,949.23828125,1088.644775390625,906.1480712890625,1055.030029296875,931.3544921875,1023.1337280273438,882.690185546875,872.3106689453125,1063.3001708984375,1039.4803466796875,970.5233154296875,873.7202758789062
"DNR’s Coastal Regional Headquarters, Brunswick",31.122932,-81.4781025,LS,368.0497131347656,535.4063720703125,373.7457580566406,409.8291015625,460.56964111328125,685.8605346679688,360.9666442871094,501.81475830078125,532.3140869140625,368.55487060546875,560.5061645507812,599.54736328125,534.5916137695312,364.24530029296875,380.1905212402344,349.16424560546875,358.7975769042969,363.63409423828125,528.2158203125,372.1740417480469,545.4129638671875,546.6746215820312,348.6468505859375,529.5463256835938,361.1166076660156,540.4064331054688,353.0769348144531,350.74554443359375,358.0909423828125,568.5558471679688,365.03033447265625,562.93212890625,371.11260986328125,528.1354370117188,369.42864990234375,365.22784423828125,545.4893188476562,531.824462890625,388.30755615234375,386.0030212402344
"Beach Road Bridge, Little St. Simons Island",31.2496704,-81.2935178,LS,569.8477172851562,835.7991943359375,575.4083251953125,602.1889038085938,625.4539794921875,930.2747802734375,591.1763916015625,1063.240966796875,804.5301513671875,677.2802734375,904.1787109375,1052.970947265625,1053.005859375,660.152587890625,1008.1442260742188,938.408203125,817.8853759765625,887.6484375,960.1949462890625,697.5758056640625,891.5140991210938,1051.080078125,801.1915283203125,924.69189453125,832.83154296875,792.547607421875,792.64599609375,566.7321166992188,630.1435546875,998.2747802734375,764.715087890625,977.68359375,604.43408203125,692.834228515625,715.3319091796875,734.2733154296875,979.992919921875,988.1873779296875,739.6513671875,751.5432739257812
"Cannon’s Point Preserve, St. Simon’s Island",31.2600377,-81.3397779,LS,622.5504150390625,706.8666381835938,590.9030151367188,622.8601684570312,731.0369873046875,787.8198852539062,576.0333862304688,1047.5169677734375,704.5521850585938,646.1654663085938,786.1224975585938,816.6072998046875,809.4956665039062,658.5505981445312,665.6659545898438,628.7351684570312,597.7488403320312,562.1932373046875,688.3683471679688,662.58984375,769.8794555664062,828.5951538085938,563.9072265625,749.7138671875,546.6782836914062,655.4653930664062,588.6819458007812,547.1249389648438,569.2896118164062,835.8275756835938,608.7117919921875,729.271484375,605.4893798828125,596.2025146484375,651.2091064453125,661.0118408203125,826.2755126953125,781.8838500976562,625.7935180664062,667.4441528320312
"Mosquito Creek, Little St. Simon’s Island",31.2600784,-81.3011048,LS,634.806396484375,866.5740356445312,627.6992797851562,649.4122924804688,730.9431762695312,853.08837890625,606.2138061523438,900.5591430664062,789.837890625,653.1614990234375,832.9677734375,901.22607421875,848.51904296875,630.3928833007812,820.7394409179688,635.1302490234375,573.7544555664062,724.4165649414062,854.3212890625,671.3629760742188,793.8833618164062,865.7536010742188,583.3973388671875,827.6041870117188,671.032958984375,791.5281372070312,652.83447265625,618.56689453125,609.3119506835938,939.3775024414062,714.8700561523438,943.9254760742188,724.0324096679688,703.4874877929688,738.7998046875,731.4596557617188,969.1494750976562,918.246337890625,705.75732421875,715.641357421875
"Long Tabby, Sapelo Island",31.431955,-81.2826587,LS,869.103271484375,784.144775390625,680.0169677734375,1002.7797241210938,842.6431274414062,980.53271484375,617.9835815429688,979.0868530273438,846.714111328125,648.2858276367188,851.2825317382812,1013.782958984375,968.169677734375,669.0969848632812,1868.6141357421875,683.0343627929688,607.5274047851562,575.3406372070312,898.7935180664062,693.5587768554688,768.7246704101562,992.60205078125,556.7081298828125,968.1541137695312,571.2030639648438,615.5371704101562,618.9069213867188,508.5930480957031,614.0189819335938,984.09912109375,761.466064453125,966.0294799804688,570.44384765625,1159.30419921875,661.3168334960938,669.8017578125,927.405029296875,565.2393188476562,1333.2376708984375,1198.3551025390625
"Ashantilly, Sapelo Island",31.4355651,-81.2800035,LS,1134.3726806640625,1157.219482421875,1138.9547119140625,1134.064208984375,1057.7237548828125,1217.9095458984375,1017.0150146484375,1174.8551025390625,1140.1446533203125,1163.69189453125,1100.2412109375,1231.5274658203125,1167.9254150390625,870.1419677734375,1214.6898193359375,1026.399169921875,967.0545043945312,1012.0359497070312,1137.013916015625,1046.94970703125,1166.4375,1245.057861328125,1065.603759765625,1142.925048828125,1085.9827880859375,1116.9952392578125,1073.10400390625,870.1593627929688,917.9020385742188,1137.9188232421875,1082.2760009765625,1230.273681640625,1008.4752807617188,955.3048095703125,1136.453125,1080.6407470703125,1095.369873046875,1180.38134765625,1002.0099487304688,1136.510498046875
"Skidaway Island State Park, Skidaway Island",31.9515771,-81.0554977,LS,756.2716064453125,781.1182861328125,919.217529296875,723.5811157226562,929.0941162109375,920.7940673828125,680.7044067382812,808.896484375,863.70654296875,751.7382202148438,881.4534912109375,970.498779296875,751.8712158203125,753.0189819335938,837.1507568359375,721.4339599609375,644.4993896484375,604.9222412109375,892.0211181640625,647.4908447265625,921.8444213867188,725.0595703125,663.6522216796875,892.4644775390625,642.009765625,861.8067016601562,647.2254028320312,631.10498046875,573.0406494140625,857.917236328125,643.707275390625,907.423828125,691.3085327148438,597.5318603515625,612.939208984375,529.74755859375,690.8084716796875,645.66015625,674.5313110351562,671.1395263671875
"Burton 4-H, Tybee Island",32.0077322,-80.8513245,LS,622.9361572265625,639.6290283203125,869.1506958007812,625.2587890625,866.9793090820312,892.8946533203125,639.5753173828125,919.5017700195312,843.8302612304688,627.577392578125,874.3733520507812,1009.654296875,871.7761840820312,780.1363525390625,815.6585693359375,887.2879028320312,637.9390258789062,608.4501953125,885.8057861328125,688.8538818359375,963.2457275390625,885.1893310546875,703.6378173828125,951.5192260742188,589.7569580078125,879.5367431640625,614.7325439453125,599.4573974609375,637.7012939453125,922.1121215820312,844.6423950195312,1031.2005615234375,762.561767578125,686.9915161132812,703.5577392578125,641.18017578125,788.2186279296875,734.8208618164062,777.2470703125,769.8778076171875
